Number,Canonical SMILES,Toxicity Value,Category
46,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,83.89138976,0
47,CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,258.999204,0
48,C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,48.99878409,-1
49,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,550.0545694,0
50,C=C(C)C1C2OC(=O)C1C1(O)C3OC3C3(CO3)C1(C)C2O,2.999969422,-1
51,OC1C=C2CCN3Cc4cc5c(cc4C(C1O)C23)OCO5,116.997964,0
52,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,1510.216122,0
53,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,180.0006288,0
54,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,42.99954795,-1
55,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,9.999753758,-1
56,C=C1C(=O)OC2CC(C)C3CC(O)OC(O)C3(C)CC12,16.23965487,-1
57,CCCCCC=CCC=CCCCCCCCC(=O)O,279.9480839,0
58,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,2.999956879,-1
59,COC1=CC(=O)OC(C=Cc2ccc3c(c2)OCO3)C1,529.996135,0
60,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,329.995116,0
61,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,34.99999999,-1
62,C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,9.999809384,-1
63,C=CC(C)(C=Cc1ccc(O)cc1)CCC=C(C)C,94.00403291,0
64,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,129.9968332,0
65,COc1ccc2ccc(=O)oc2c1CC=C(C)C,189.9922222,0
66,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,499.9916738,0
67,COC(=O)C1=CCCN(C)C1,128.4671596,0
68,COC1=CC(=O)OC(CCc2ccccc2)C1,324.9874071,0
69,COC1=CC(=O)OC(C=Cc2ccccc2)C1,419.9945282,0
70,Cn1cc(CC(N)C(=O)O)c2ccccc21,285.992138,0
71,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,48.17913497,-1
72,CCC1C(=O)OCC1Cc1cncn1C,184.6609664,0
73,CC=Cc1cc(OC)c(OC)cc1OC,309.9895803,0
74,CC12C(=O)OC(=O)C1(C)C1CCC2O1,0.999989807,-1
75,CC1=CC(=O)c2c(O)cccc2C1=O,4.999946855,-1
76,S=C=Nc1cccc2ccccc12,151.9991795,0
77,CC1OC(C[N+](C)(C)C)CC1O,4.999885233,-1
78,O=C(O)c1cc(O)c(O)c(O)c1,4300.000005,1
79,O=C1OC(=O)C2C3CCC(O3)C12,4.000047575,-1
80,CNC(C)C(O)c1ccccc1,250.1736575,0
81,C=CCc1ccc(O)c(OC)c1,499.98782,0
82,CC(=O)NC(CS)C(=O)O,400.0049019,0
83,CC1CCC(C(C)C)C(O)C1,9680.351497,1
84,CC(C)=C1CCC(C)CC1=O,149.9931029,0
85,CC12CCC(CC1=O)C2(C)C,2999.86206,1
86,COc1cc(C=O)ccc1O,475.0031216,0
87,O=c1ccc2ccccc2o1,219.9924731,0
88,C=C(C)C1CC=C(C)CC1,599.9647677,0
89,c1ccc2ccccc2c1,149.9953188,0
90,Oc1cccc(O)c1O,399.9968283,0
91,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,26.00042369,-1
92,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,469.989475,0
93,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,265.9901757,0
94,CCOCCO,1706.962118,0
95,Oc1ccc2ccccc2c1,97497.97114,1
96,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,23.29837504,-1
97,CC(C)(O)C#N,0.9999295,-1
98,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,9.499787053,-1
99,CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,2920.97126,1
100,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,49.99808176,-1
101,NC12CC3CC(CC(C3)C1)C2,212.5642415,0
102,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,896.0374393,0
103,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,3499.634334,1
104,NCCCNCCSP(=O)(O)O,465.3304224,0
105,CN(C)CCC=C1c2ccccc2CCc2ccccc21,56.08699055,0
106,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,449.9879313,0
107,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,225.0195998,0
108,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,3589.891932,1
